                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.54681,                 0.2857,                 0.8007,                0.70767,                 0.7427,                0.73027,                0.56385,                0.57587,                0.29983,                0.81977,              0.0002674,              0.0002674,              0.0002674
                     76,                0.54195,                  0.283,                0.79886,                0.70047,                0.74351,                0.72246,                0.55928,                0.57626,                0.29858,                0.82049,              0.0002575,              0.0002575,              0.0002575
                     77,                0.54813,                0.28361,                0.79945,                0.90512,                0.66756,                0.74317,                 0.5722,                0.56771,                0.29427,                0.81833,              0.0002476,              0.0002476,              0.0002476
                     78,                0.54566,                0.28139,                0.80005,                0.70048,                0.75337,                0.73546,                0.56903,                0.56588,                0.29735,                0.81851,              0.0002377,              0.0002377,              0.0002377
                     79,                0.55032,                0.28316,                0.79913,                 0.6995,                0.76025,                 0.7408,                0.57328,                0.56211,                0.29779,                0.81773,              0.0002278,              0.0002278,              0.0002278
                     80,                0.55092,                0.28401,                0.79976,                0.91392,                  0.679,                0.75216,                0.58118,                0.56094,                0.29446,                0.81681,              0.0002179,              0.0002179,              0.0002179
                     81,                0.54074,                0.27992,                0.79784,                0.70594,                0.76252,                0.74412,                0.57656,                0.55925,                 0.2892,                0.81635,               0.000208,               0.000208,               0.000208
                     82,                0.53845,                0.27753,                0.79862,                0.70574,                0.74962,                0.73807,                0.57192,                 0.5635,                0.28921,                0.81863,              0.0001981,              0.0001981,              0.0001981
                     83,                0.53319,                0.27626,                0.79702,                0.70909,                0.74901,                0.73918,                0.57097,                0.56649,                0.29208,                0.81797,              0.0001882,              0.0001882,              0.0001882
                     84,                0.52843,                0.27309,                0.79697,                0.92543,                0.66314,                0.73908,                0.57145,                0.56836,                0.29252,                0.81629,              0.0001783,              0.0001783,              0.0001783
                     85,                0.52649,                 0.2716,                0.79637,                0.70665,                0.73692,                0.73012,                0.56449,                0.56999,                0.29436,                0.81744,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.5297,                0.27334,                 0.7962,                0.70926,                 0.7359,                0.73296,                0.56639,                0.56995,                0.29156,                0.81627,              0.0001585,              0.0001585,              0.0001585
                     87,                0.54569,                0.27935,                0.79833,                 0.7056,                0.74519,                 0.7358,                0.56782,                0.57283,                0.29242,                0.81651,              0.0001486,              0.0001486,              0.0001486
                     88,                0.53922,                0.27497,                0.79702,                0.70639,                0.74587,                 0.7385,                0.56974,                0.57571,                0.29386,                0.81682,              0.0001387,              0.0001387,              0.0001387
                     89,                0.52345,                 0.2683,                  0.795,                0.70483,                0.74334,                0.73616,                0.56914,                0.58243,                 0.2936,                0.81809,              0.0001288,              0.0001288,              0.0001288
                     90,                0.52717,                0.26876,                0.79525,                0.70378,                0.74471,                0.73275,                0.56551,                0.58872,                0.29491,                0.81982,              0.0001189,              0.0001189,              0.0001189
                     91,                0.52471,                0.26722,                0.79572,                  0.705,                 0.7396,                0.73309,                0.56681,                0.59141,                0.29501,                 0.8206,               0.000109,               0.000109,               0.000109
                     92,                0.53416,                0.27105,                 0.7965,                0.70399,                0.74144,                0.73681,                0.56861,                 0.5896,                0.29413,                0.82053,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.53365,                0.27014,                0.79622,                0.93648,                0.66039,                0.74136,                0.57226,                0.58632,                0.29603,                0.82034,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.50952,                0.26038,                0.79421,                0.95093,                0.66943,                0.74671,                0.57672,                0.58548,                0.29378,                0.81993,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.50587,                 0.2589,                0.79296,                0.94807,                0.67158,                0.74647,                 0.5778,                0.58066,                0.28948,                0.81857,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.50255,                0.25715,                 0.7925,                0.94978,                0.66372,                0.74304,                0.57641,                0.57953,                0.28825,                0.81775,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.49968,                0.25558,                0.79279,                0.93549,                0.65982,                 0.7421,                0.57689,                0.57539,                0.28597,                0.81708,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.49906,                0.25514,                0.79203,                0.70717,                 0.7527,                0.74199,                0.57722,                  0.573,                0.28471,                0.81679,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.49445,                0.25247,                0.79218,                0.70845,                0.75474,                0.74223,                0.57727,                0.57254,                0.28395,                0.81648,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.49284,                0.25094,                0.79161,                0.70955,                0.75168,                0.74146,                0.57691,                0.57197,                0.28351,                0.81634,               1.99e-05,               1.99e-05,               1.99e-05
